scratchpad_mib,scratchpad_bytes,native_min,browser_min,ratio_min,native_median,browser_median,ratio_median,native_spread,browser_spread,paired
1.0,1048576,11.8364,12,1.0138217701328107,12.015842,12.4,1.0319709596714073,0.350276,0.048387,True
2.0,2097152,,12.4,,,12.6,,,0.047619,False
8.0,8388608,14.3465,13.8,0.961907085351828,23.285992,15.2,0.6527529512163364,1.919762,0.552632,True
16.0,16777216,,36.8,,,37.6,,,0.25,False
32.0,33554432,75.648592,71,0.938550184780703,79.512683,76.8,0.9658836439967697,0.061571,0.369792,True
128.0,134217728,107.317683,105.2,0.9802671569046082,113.213933,106,0.9362805194657445,0.11922,0.022642,True
256.0,268435456,112.822217,110.8,0.982076074608603,113.763833,112.4,0.9880117172212367,0.07341,0.037367,True
